"resource_name","delivery_date","hour_ending","min_gen_cost"
"AEEC_ANTLP_2","2023-12-12 00:00:00",16,"24.2900000000"
"AEEC_ANTLP_2","2023-12-13 00:00:00",16,"29.7300000000"
"AEEC_ANTLP_2","2023-12-16 00:00:00",16,"30.1700000000"
"AEEC_ANTLP_2","2023-12-14 00:00:00",16,"28.6400000000"
"AEEC_ANTLP_2","2023-12-15 00:00:00",16,"28.1000000000"
"AEEC_ANTLP_2","2023-12-18 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-12-17 00:00:00",16,"30.1700000000"
"AEEC_ANTLP_2","2023-12-22 00:00:00",16,"21.0600000000"
"AEEC_ANTLP_2","2023-12-19 00:00:00",16,"26.4100000000"
"AEEC_ANTLP_2","2023-12-20 00:00:00",16,"22.9200000000"
"AEEC_ANTLP_2","2023-12-21 00:00:00",16,"24.0000000000"
"AEEC_ANTLP_2","2023-12-23 00:00:00",16,"8.3000000000"
"AEEC_ANTLP_2","2023-12-27 00:00:00",16,"24.9300000000"
"AEEC_ANTLP_2","2023-12-24 00:00:00",16,"8.3000000000"
"AEEC_ANTLP_2","2023-12-25 00:00:00",16,"8.3000000000"
"AEEC_ANTLP_2","2023-12-26 00:00:00",16,"8.3000000000"
"AEEC_ANTLP_2","2023-12-28 00:00:00",16,"34.0700000000"
"AEEC_ANTLP_2","2023-12-29 00:00:00",16,"25.1100000000"
"AEEC_ANTLP_2","2023-12-30 00:00:00",16,"25.4000000000"
"AEEC_ANTLP_2","2023-12-31 00:00:00",16,"25.4000000000"
